age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
79,Local-gov,1117751,12th,12,Never-married,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,76324,1108,96,Canada,>50K
50,Local-gov,585257,1st-4th,7,Separated,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,65778,2476,33,South,<=50K
54,Self-emp-inc,649280,Prof-school,1,Never-married,Sales,Husband,Asian-Pac-Islander,Female,73773,7,45,Japan,>50K
44,State-gov,576583,12th,13,Widowed,Protective-serv,Own-child,Amer-Indian-Eskimo,Female,9954,190,86,Philippines,<=50K
30,Self-emp-inc,83091,1st-4th,12,Widowed,Machine-op-inspct,Husband,Black,Male,17657,1024,20,Dominican-Republic,<=50K
85,State-gov,1309300,Prof-school,16,Never-married,Sales,Own-child,White,Male,52984,2212,99,El-Salvador,>50K
74,Self-emp-inc,1353381,1st-4th,5,Married-civ-spouse,Adm-clerical,Husband,Black,Male,46617,3346,93,Philippines,<=50K
64,Never-worked,1420063,Assoc-voc,7,Married-AF-spouse,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,55771,2275,44,Portugal,<=50K
46,State-gov,757834,7th-8th,10,Separated,Protective-serv,Wife,Other,Male,1008,1609,12,Germany,<=50K
77,Local-gov,263732,Bachelors,13,Never-married,Transport-moving,Unmarried,White,Female,19667,56,49,Thailand,>50K
57,Federal-gov,609602,11th,4,Separated,Machine-op-inspct,Not-in-family,White,Female,20464,2044,67,Cuba,<=50K
49,Without-pay,1023461,Masters,5,Widowed,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,92022,1954,26,Cuba,<=50K
50,Federal-gov,268465,Doctorate,11,Widowed,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,94282,1491,88,Jamaica,>50K
33,Without-pay,240964,12th,6,Married-AF-spouse,Transport-moving,Husband,Other,Male,76730,1224,12,Vietnam,<=50K
23,Self-emp-not-inc,1479195,10th,16,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,52918,2361,41,Canada,<=50K
58,Without-pay,64019,10th,5,Widowed,Transport-moving,Husband,Black,Female,68649,454,64,Columbia,<=50K
82,Never-worked,896520,10th,1,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Female,53038,1866,44,Hungary,<=50K
21,Self-emp-not-inc,233308,Doctorate,11,Widowed,Adm-clerical,Husband,Black,Female,49397,953,55,Mexico,>50K
80,Self-emp-not-inc,44680,10th,13,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,59564,52,93,Thailand,<=50K
78,Never-worked,950379,Doctorate,15,Never-married,Prof-specialty,Other-relative,Other,Male,99037,2649,25,Thailand,<=50K
37,Federal-gov,284216,Assoc-voc,5,Married-AF-spouse,Transport-moving,Own-child,White,Male,7968,2615,62,South,>50K
63,State-gov,1086042,Assoc-voc,14,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Male,19494,326,36,Puerto-Rico,<=50K
29,Self-emp-not-inc,1231126,9th,16,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,63472,1978,34,Haiti,<=50K
73,Federal-gov,761743,7th-8th,10,Married-AF-spouse,Protective-serv,Husband,White,Male,55004,3934,5,El-Salvador,<=50K
68,State-gov,259014,Masters,5,Married-AF-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,12453,1577,29,Canada,<=50K
43,Never-worked,1418956,7th-8th,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,25812,1089,78,Haiti,<=50K
22,Federal-gov,562584,11th,11,Married-civ-spouse,Craft-repair,Own-child,Black,Male,89685,930,91,Haiti,<=50K
88,Private,1141820,Assoc-voc,14,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,2457,2023,1,Portugal,<=50K
49,Federal-gov,297400,12th,8,Married-AF-spouse,Priv-house-serv,Unmarried,White,Male,53089,3304,13,Jamaica,<=50K
83,State-gov,251175,Bachelors,16,Married-AF-spouse,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,1244,1041,15,El-Salvador,<=50K
67,Never-worked,1009024,Some-college,5,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,4271,3241,91,Mexico,<=50K
74,Without-pay,319640,5th-6th,13,Married-civ-spouse,Armed-Forces,Wife,Other,Male,96297,2211,81,South,<=50K
73,Without-pay,799885,Doctorate,12,Separated,Tech-support,Unmarried,White,Female,58164,2130,38,Canada,<=50K
31,Self-emp-not-inc,893362,12th,11,Widowed,Handlers-cleaners,Other-relative,Other,Female,53235,583,10,Honduras,<=50K
43,Local-gov,192948,Some-college,11,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,71361,2644,85,Jamaica,<=50K
51,Local-gov,504941,Prof-school,13,Widowed,Exec-managerial,Own-child,Other,Male,78306,2123,86,Haiti,<=50K
53,Federal-gov,297980,10th,2,Married-spouse-absent,Tech-support,Husband,Other,Female,64446,2380,10,Dominican-Republic,>50K
20,Never-worked,13605,1st-4th,8,Married-spouse-absent,Craft-repair,Unmarried,Black,Male,79404,1063,34,Germany,>50K
57,Never-worked,1415182,HS-grad,16,Never-married,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,97060,1206,52,Portugal,>50K
28,Self-emp-not-inc,48194,Some-college,7,Married-spouse-absent,Adm-clerical,Other-relative,White,Male,5356,1122,89,United-States,<=50K
72,Never-worked,1238273,5th-6th,3,Widowed,Armed-Forces,Not-in-family,White,Male,55362,3277,56,Germany,>50K
67,Without-pay,615502,1st-4th,16,Never-married,Priv-house-serv,Own-child,Black,Female,80947,1607,25,United-States,<=50K
85,State-gov,421679,Masters,13,Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,3811,859,67,Canada,<=50K
72,Federal-gov,786248,Doctorate,9,Married-spouse-absent,Armed-Forces,Wife,Asian-Pac-Islander,Male,47831,1291,42,South,<=50K
44,Without-pay,1366192,Assoc-voc,16,Divorced,Tech-support,Own-child,White,Female,79178,4128,41,Puerto-Rico,<=50K
88,Local-gov,977965,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,Other,Female,41736,3791,82,Puerto-Rico,<=50K
47,Never-worked,131384,Bachelors,14,Married-civ-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,11945,4263,81,Haiti,<=50K
41,State-gov,1140293,Preschool,2,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,87972,3659,31,Thailand,<=50K
84,Never-worked,1140679,12th,8,Married-AF-spouse,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,33012,1895,50,India,<=50K
44,Federal-gov,1444222,1st-4th,9,Widowed,Machine-op-inspct,Other-relative,Other,Male,87944,2466,89,Haiti,>50K
22,Private,310898,Assoc-voc,9,Divorced,Exec-managerial,Other-relative,Black,Female,89640,1548,75,Puerto-Rico,<=50K
51,Federal-gov,1252224,Some-college,7,Married-civ-spouse,Transport-moving,Husband,White,Male,77193,3357,28,Thailand,<=50K
75,Never-worked,559319,10th,1,Separated,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,28424,1588,59,Haiti,<=50K
31,State-gov,538405,10th,5,Married-AF-spouse,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,48046,3043,38,Philippines,<=50K
51,State-gov,948186,10th,13,Separated,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,51823,2611,81,El-Salvador,<=50K
26,State-gov,802623,7th-8th,16,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,37695,2253,5,Japan,<=50K
67,Local-gov,351792,Masters,2,Married-spouse-absent,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,40542,1454,22,Honduras,<=50K
52,Private,331439,Assoc-acdm,15,Separated,Exec-managerial,Own-child,White,Male,14210,3758,82,India,>50K
41,Federal-gov,973425,Prof-school,16,Divorced,Farming-fishing,Own-child,Black,Male,95705,708,72,Columbia,<=50K
33,Private,1444213,Bachelors,16,Separated,Farming-fishing,Own-child,Other,Female,97262,743,83,Thailand,<=50K
58,Self-emp-inc,351516,11th,5,Married-spouse-absent,Protective-serv,Husband,Other,Male,47850,1212,62,Hungary,<=50K
66,State-gov,803731,Assoc-voc,6,Married-spouse-absent,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,109,177,31,Philippines,<=50K
86,Without-pay,465783,9th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Female,78308,226,53,Philippines,<=50K
49,Self-emp-not-inc,381326,9th,11,Divorced,Adm-clerical,Not-in-family,Black,Male,80070,2111,73,Hungary,<=50K
28,State-gov,1187690,9th,3,Married-spouse-absent,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,18770,1242,96,Hungary,<=50K
78,Self-emp-not-inc,1082504,HS-grad,5,Never-married,Transport-moving,Other-relative,White,Male,32925,336,78,Honduras,<=50K
63,Self-emp-not-inc,720959,Masters,9,Married-AF-spouse,Other-service,Wife,Asian-Pac-Islander,Female,11548,1198,67,Thailand,>50K
68,Never-worked,733443,9th,8,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Male,11059,3884,36,Jamaica,<=50K
24,Local-gov,641129,7th-8th,7,Married-AF-spouse,Adm-clerical,Other-relative,Other,Female,2234,3134,71,Cuba,<=50K
40,Self-emp-not-inc,1485559,12th,5,Separated,Armed-Forces,Not-in-family,White,Male,4426,1815,63,Honduras,>50K
73,Self-emp-not-inc,1410652,9th,4,Married-civ-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,55370,2280,41,Mexico,<=50K
78,Private,122715,7th-8th,10,Married-civ-spouse,Other-service,Husband,Other,Female,13816,211,61,Dominican-Republic,<=50K
49,Federal-gov,1218474,9th,3,Separated,Tech-support,Wife,White,Female,9091,2612,61,Thailand,>50K
76,Private,508151,Assoc-voc,5,Married-civ-spouse,Sales,Own-child,White,Female,9669,4140,32,Jamaica,<=50K
79,Local-gov,977501,7th-8th,2,Married-AF-spouse,Farming-fishing,Not-in-family,Other,Female,75775,4099,43,Hungary,<=50K
45,Federal-gov,1404450,Masters,5,Married-civ-spouse,Sales,Wife,Black,Male,64088,701,26,Honduras,<=50K
83,State-gov,635366,Doctorate,5,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,586,993,69,Canada,<=50K
38,Self-emp-not-inc,693991,Some-college,7,Married-AF-spouse,Sales,Other-relative,White,Female,78510,4355,21,Germany,<=50K
34,Self-emp-not-inc,937848,11th,5,Married-AF-spouse,Transport-moving,Own-child,Other,Male,61419,1175,57,Philippines,>50K
67,Private,473153,Some-college,1,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,6355,26,30,Dominican-Republic,<=50K
64,Private,402012,Bachelors,6,Married-spouse-absent,Prof-specialty,Husband,White,Male,92762,2961,87,Laos,<=50K
27,Private,906355,Doctorate,15,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Female,40781,2755,61,India,>50K
78,Self-emp-inc,319257,HS-grad,10,Married-spouse-absent,Sales,Wife,Black,Female,90026,1818,31,Dominican-Republic,<=50K
31,Without-pay,994482,Prof-school,4,Married-spouse-absent,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,11727,4130,78,Mexico,<=50K
76,Local-gov,381143,Prof-school,16,Married-civ-spouse,Craft-repair,Other-relative,Other,Female,88545,3545,21,Hungary,>50K
17,Self-emp-inc,149465,Doctorate,11,Widowed,Prof-specialty,Wife,White,Female,25124,2244,24,Jamaica,<=50K
75,Never-worked,161738,12th,11,Divorced,Sales,Wife,Black,Male,24290,4035,84,Haiti,<=50K
75,Without-pay,395689,Some-college,2,Married-civ-spouse,Other-service,Other-relative,Other,Female,61936,2240,90,Mexico,>50K
74,Without-pay,163280,Doctorate,5,Married-spouse-absent,Sales,Other-relative,Black,Female,9047,3347,58,Laos,<=50K
66,Never-worked,468986,Preschool,7,Never-married,Handlers-cleaners,Wife,Other,Male,79621,3913,20,Thailand,>50K
51,State-gov,630107,1st-4th,11,Married-spouse-absent,Tech-support,Wife,Black,Male,766,1597,75,Columbia,<=50K
69,Never-worked,375621,9th,1,Married-spouse-absent,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,12091,2774,10,Vietnam,<=50K
37,Self-emp-inc,801871,Preschool,4,Divorced,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Female,18332,1489,52,Vietnam,<=50K
74,Without-pay,578222,Bachelors,16,Never-married,Transport-moving,Wife,Other,Male,15286,3511,19,Japan,<=50K
58,Private,130594,Bachelors,5,Married-spouse-absent,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,44747,2032,86,Cuba,<=50K
50,Self-emp-inc,507022,10th,14,Separated,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,1199,3255,1,Jamaica,<=50K
54,Never-worked,30138,HS-grad,3,Divorced,Handlers-cleaners,Not-in-family,Other,Male,71392,2460,42,Cuba,<=50K
59,Self-emp-not-inc,1093410,Bachelors,14,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Female,29670,38,43,Vietnam,>50K
19,Local-gov,666929,Some-college,7,Widowed,Farming-fishing,Unmarried,White,Female,45567,2266,73,Honduras,>50K
27,Self-emp-inc,897579,9th,4,Married-AF-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Female,86556,37,26,Mexico,<=50K
35,Private,222796,Masters,11,Separated,Prof-specialty,Own-child,White,Male,36147,2197,76,Puerto-Rico,>50K
25,Self-emp-not-inc,646683,9th,10,Married-spouse-absent,Protective-serv,Other-relative,Black,Male,42174,2895,80,Columbia,<=50K
49,Local-gov,1208325,Assoc-voc,3,Married-spouse-absent,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,84179,4245,91,Canada,>50K
66,State-gov,307913,11th,14,Divorced,Priv-house-serv,Other-relative,Other,Female,76920,3025,21,Dominican-Republic,<=50K
65,State-gov,1466800,Prof-school,13,Separated,Other-service,Husband,Amer-Indian-Eskimo,Female,43518,1115,97,Cuba,<=50K
51,Self-emp-not-inc,634038,Preschool,7,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,26635,4124,84,India,<=50K
80,Self-emp-inc,213900,Assoc-acdm,15,Divorced,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,32631,2248,70,Japan,<=50K
58,Private,279061,Assoc-acdm,1,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,11871,3131,75,Portugal,>50K
22,Private,695194,5th-6th,16,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,4960,1072,91,South,<=50K
73,Federal-gov,1419666,Some-college,7,Married-civ-spouse,Priv-house-serv,Husband,White,Female,25098,924,96,Hungary,<=50K
59,Local-gov,709698,Some-college,13,Married-AF-spouse,Other-service,Husband,Black,Male,88258,2382,16,Thailand,<=50K
63,Self-emp-inc,269142,5th-6th,15,Married-spouse-absent,Sales,Husband,Other,Male,553,216,41,Laos,<=50K
58,Private,585826,Assoc-acdm,14,Widowed,Sales,Other-relative,Other,Female,24999,2980,90,Puerto-Rico,<=50K
57,Self-emp-not-inc,1281508,HS-grad,2,Married-AF-spouse,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,92809,1196,51,Dominican-Republic,<=50K
23,Federal-gov,1467250,9th,7,Married-AF-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,64331,1009,76,Thailand,>50K
58,Self-emp-inc,922184,Bachelors,2,Married-AF-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Male,80329,1676,51,Laos,<=50K
75,Without-pay,1292200,Assoc-voc,4,Married-civ-spouse,Priv-house-serv,Unmarried,Other,Male,23959,737,3,Portugal,<=50K
39,Local-gov,1210767,Bachelors,10,Married-AF-spouse,Other-service,Unmarried,White,Female,27156,827,33,Columbia,<=50K
61,Never-worked,639420,1st-4th,12,Separated,Exec-managerial,Wife,Black,Female,61460,1151,25,India,>50K
19,Self-emp-not-inc,1325680,Doctorate,4,Married-spouse-absent,Sales,Other-relative,Asian-Pac-Islander,Female,96755,1279,6,United-States,>50K
42,Self-emp-inc,123573,12th,1,Never-married,Tech-support,Unmarried,Other,Male,17097,1890,96,Portugal,<=50K
49,Private,1200667,11th,7,Separated,Transport-moving,Own-child,Asian-Pac-Islander,Male,96178,38,19,India,<=50K
89,Private,871462,10th,10,Widowed,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,20835,3509,82,South,<=50K
32,Never-worked,883330,Masters,7,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Female,42628,2617,24,Philippines,<=50K
37,Federal-gov,1394586,Doctorate,16,Never-married,Exec-managerial,Unmarried,White,Male,63987,3969,48,Vietnam,<=50K
47,State-gov,406932,5th-6th,12,Married-civ-spouse,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,17715,3503,49,Jamaica,<=50K
90,Self-emp-inc,304517,Assoc-voc,11,Married-civ-spouse,Other-service,Other-relative,Black,Male,83665,769,20,South,<=50K
80,Private,987849,Preschool,1,Married-AF-spouse,Protective-serv,Own-child,White,Male,95863,4193,76,Canada,<=50K
19,Never-worked,1108479,Doctorate,15,Separated,Sales,Own-child,Other,Female,83378,1227,23,Honduras,<=50K
34,State-gov,19444,12th,11,Divorced,Armed-Forces,Unmarried,Asian-Pac-Islander,Female,69570,4190,71,Jamaica,<=50K
77,State-gov,751123,Masters,16,Widowed,Sales,Other-relative,Asian-Pac-Islander,Female,30221,2413,69,Haiti,>50K
21,Local-gov,570223,9th,8,Married-AF-spouse,Adm-clerical,Own-child,Asian-Pac-Islander,Male,14836,4149,35,Thailand,<=50K
80,Federal-gov,1223622,Doctorate,11,Widowed,Craft-repair,Wife,White,Female,90728,2311,30,Germany,<=50K
37,Federal-gov,1280453,Bachelors,9,Separated,Prof-specialty,Wife,Other,Male,88324,4073,67,El-Salvador,>50K
84,Without-pay,217529,9th,14,Married-spouse-absent,Priv-house-serv,Husband,Black,Male,83130,1219,81,United-States,<=50K
38,Self-emp-not-inc,870384,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,47935,2351,7,Columbia,<=50K
49,Self-emp-inc,1079721,Bachelors,7,Married-AF-spouse,Sales,Wife,Black,Male,61633,1596,86,Philippines,>50K
65,Self-emp-inc,397516,Preschool,11,Widowed,Machine-op-inspct,Wife,Other,Female,35957,940,4,Haiti,<=50K
26,Local-gov,1392461,Masters,2,Married-spouse-absent,Exec-managerial,Other-relative,Other,Male,20060,786,59,Dominican-Republic,>50K
58,Never-worked,1331030,9th,11,Divorced,Priv-house-serv,Own-child,Other,Male,20865,2500,60,Dominican-Republic,<=50K
54,Never-worked,266778,Preschool,8,Never-married,Exec-managerial,Husband,White,Male,44585,2699,63,India,<=50K
75,Local-gov,34854,Some-college,5,Widowed,Sales,Own-child,Other,Male,29967,1008,89,Laos,<=50K
90,Self-emp-not-inc,866683,5th-6th,14,Married-AF-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,48022,1031,77,Mexico,>50K
66,Never-worked,1317349,9th,14,Divorced,Other-service,Wife,White,Female,26758,2256,51,Dominican-Republic,<=50K
47,Self-emp-inc,1021230,11th,1,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,38996,3907,77,Germany,<=50K
47,Self-emp-inc,1134845,Prof-school,10,Never-married,Other-service,Not-in-family,White,Male,40750,4253,50,Germany,>50K
47,Never-worked,1076401,9th,1,Married-AF-spouse,Exec-managerial,Unmarried,Black,Male,83341,3139,41,India,<=50K
77,Self-emp-inc,228645,10th,8,Widowed,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,98564,3533,83,Haiti,<=50K
40,Federal-gov,111759,Doctorate,16,Never-married,Sales,Unmarried,Black,Female,84018,2942,46,Dominican-Republic,<=50K
29,Never-worked,105264,11th,9,Married-AF-spouse,Exec-managerial,Husband,Other,Male,12459,2122,60,Thailand,<=50K
41,Self-emp-inc,1466364,Assoc-voc,3,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,14044,1889,80,Honduras,<=50K
18,Local-gov,1418320,Assoc-voc,4,Never-married,Armed-Forces,Wife,White,Female,94995,3974,90,El-Salvador,<=50K
24,Private,1244816,7th-8th,1,Widowed,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,22833,3102,37,Laos,<=50K
23,Never-worked,111367,7th-8th,13,Never-married,Prof-specialty,Unmarried,White,Male,14645,2499,7,Thailand,<=50K
74,Federal-gov,1325839,Preschool,15,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,76692,1570,28,Japan,<=50K
70,State-gov,1451616,Prof-school,5,Never-married,Farming-fishing,Wife,Black,Female,49155,1996,25,Cuba,<=50K
68,Local-gov,1172223,9th,5,Married-AF-spouse,Machine-op-inspct,Not-in-family,Other,Male,11852,2802,65,El-Salvador,>50K
51,Federal-gov,634023,Prof-school,10,Divorced,Priv-house-serv,Wife,Black,Male,401,4051,21,Japan,<=50K
70,Federal-gov,149776,HS-grad,13,Widowed,Tech-support,Own-child,Asian-Pac-Islander,Female,39822,1747,35,El-Salvador,<=50K
28,Private,534805,Assoc-voc,15,Married-civ-spouse,Priv-house-serv,Husband,Black,Female,10846,3278,41,Laos,<=50K
83,Self-emp-inc,313902,Bachelors,16,Separated,Transport-moving,Other-relative,Other,Female,2814,1904,82,Portugal,<=50K
54,Federal-gov,973124,10th,9,Never-married,Other-service,Wife,Asian-Pac-Islander,Female,1169,1503,98,Columbia,<=50K
86,Self-emp-inc,1317150,9th,11,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,6348,218,12,Hungary,>50K
28,Self-emp-inc,745499,9th,1,Married-spouse-absent,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,8523,1109,48,Honduras,>50K
53,State-gov,83467,7th-8th,2,Divorced,Farming-fishing,Own-child,Other,Female,47201,944,21,Germany,<=50K
68,Without-pay,588820,7th-8th,16,Widowed,Adm-clerical,Wife,Asian-Pac-Islander,Male,80518,3385,99,Philippines,<=50K
53,Never-worked,1194387,5th-6th,4,Divorced,Other-service,Other-relative,Other,Female,76870,1596,21,Honduras,<=50K
50,Never-worked,958517,12th,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,32546,2753,40,Japan,>50K
29,State-gov,72557,10th,5,Married-civ-spouse,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,30968,2550,75,Japan,>50K
45,Federal-gov,529723,Doctorate,3,Divorced,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,23564,2425,77,Hungary,>50K
34,State-gov,532417,Some-college,13,Divorced,Craft-repair,Other-relative,White,Male,32743,2624,44,Canada,<=50K
39,Self-emp-not-inc,63063,10th,8,Widowed,Prof-specialty,Other-relative,Black,Female,45382,1296,47,Thailand,>50K
67,Without-pay,529161,Doctorate,2,Widowed,Protective-serv,Husband,Black,Male,46207,545,58,Laos,<=50K
63,Local-gov,1231196,Masters,6,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,25835,3226,58,South,<=50K
61,Self-emp-not-inc,204525,Some-college,7,Married-civ-spouse,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,40306,2966,60,Jamaica,<=50K
43,Federal-gov,772981,Bachelors,7,Never-married,Tech-support,Husband,Amer-Indian-Eskimo,Male,71720,803,71,United-States,<=50K
88,Self-emp-inc,983006,Bachelors,13,Separated,Armed-Forces,Own-child,Black,Female,23300,1043,55,Puerto-Rico,>50K
23,Self-emp-inc,1027283,1st-4th,8,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,65030,2470,61,El-Salvador,<=50K
42,Private,499772,7th-8th,10,Widowed,Priv-house-serv,Other-relative,Black,Male,42498,1867,86,Puerto-Rico,<=50K
25,Private,862458,Assoc-acdm,14,Separated,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,18030,584,17,Hungary,<=50K
42,Self-emp-inc,1080808,7th-8th,15,Divorced,Tech-support,Husband,Other,Male,83890,3462,93,India,<=50K
88,Self-emp-inc,920131,9th,4,Never-married,Transport-moving,Not-in-family,Other,Male,24864,1258,91,El-Salvador,<=50K
44,Never-worked,1250933,Assoc-acdm,11,Married-AF-spouse,Armed-Forces,Wife,White,Male,37774,1308,96,Laos,<=50K
84,Self-emp-inc,335903,10th,11,Married-AF-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,41153,1203,19,Puerto-Rico,>50K
53,Self-emp-inc,171725,9th,11,Separated,Other-service,Other-relative,Asian-Pac-Islander,Female,5433,2585,41,Mexico,<=50K
68,Never-worked,1393820,7th-8th,12,Married-AF-spouse,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,87525,929,70,Puerto-Rico,<=50K
50,Without-pay,1097678,5th-6th,2,Married-spouse-absent,Craft-repair,Wife,Asian-Pac-Islander,Female,57621,3369,68,Thailand,<=50K
36,Private,674070,5th-6th,16,Divorced,Machine-op-inspct,Not-in-family,White,Male,43040,3301,85,South,<=50K
73,Private,855639,Masters,12,Divorced,Prof-specialty,Own-child,White,Female,89960,3075,19,Portugal,>50K
88,Private,1372293,5th-6th,6,Married-civ-spouse,Other-service,Other-relative,White,Male,4785,275,73,Philippines,>50K
